195101,30.2,0.08
195201,32,1.88
195301,36.43,6.31
195401,30.9,0.78
195501,29.35,-0.77
195601,31.01,0.89
195701,27.07,-3.05
195801,31.6,1.48
195901,29.5,-0.62
196001,29.46,-0.66
196101,29.71,-0.41
196201,26.96,-3.16
196301,24.44,-5.68
196401,31.53,1.41
196501,31.8,1.68
196601,26.38,-3.74
196701,33.1,2.98
196801,28.94,-1.18
196901,29.37,-0.75
197001,27.14,-2.98
197101,29.41,-0.71
197201,29.93,-0.19
197301,29.59,-0.53
197401,31.01,0.89
197501,32.34,2.22
197601,29.93,-0.19
197701,23.09,-7.03
197801,25.86,-4.26
197901,21.9,-8.22
198001,31.12,1
198101,32.41,2.29
198201,26.22,-3.9
198301,33.12,3
198401,28.83,-1.29
198501,26.31,-3.81
198601,34.68,4.56
198701,31.44,1.32
198801,27.79,-2.33
198901,34.09,3.97
199001,36.5,6.38
199101,29.48,-0.64
199201,33.62,3.5
199301,30.47,0.35
199401,29.34,-0.78
199501,33.08,2.96
199601,29.7,-0.42
199701,29.95,-0.17
199801,34.99,4.87
199901,33.78,3.66
200001,33.57,3.45
200101,31.35,1.23
200201,34.48,4.36
200301,32.81,2.69
200401,30.34,0.22
200501,33.39,3.27
200601,38.93,8.81
200701,31.35,1.23
200801,30.27,0.15
200901,31.05,0.93
201001,30.67,0.55
201101,29.71,-0.41
201201,36.12,6
201301,32.25,2.13
201401,30.56,0.44
201501,33.08,2.96
201601,32.22,2.1
